headline,sentiment,words
Boris Johnson Joins Trump in Redefining Conservatism,neutral,7
Trump Praises Controversial Hungarian Leader,negative,5
"Stung by Trump’s Criticisms of Russian Gas Deal, Germany Makes Its Own Threats",neutral,13
What ‘America First’ Means Under Trump Is Coming Into Focus,neutral,10
Trump Set to Meet With Russia’s Top Diplomat Tuesday,neutral,9
"Trump Clashes With Macron on NATO, Trade and Islamic State",neutral,10
"Donald Trump Won’t Slow Efforts to Fight Climate Change, John Kerry Predicts",positive,12
Trump to Attend NATO Summit in London,neutral,7
"Trump-Erdogan Rapport Tested by Tensions Over Syria, Russia",neutral,8
Trump Says Erdogan Visit to U.S. Is On U.S. Officials Travel to Ankara,neutral,13
Ukrainian President Denies Trump Pressured Him During July Call,neutral,9
"In Months Before Trump Call, Ukraine Officials Sweated White House Pressure",negative,11
Ukraine to Review Investigations Into Firm Linked to Biden’s Son,neutral,10
Taliban Negotiators Meet With Russian Officials After Trump Ends Talks,negative,10
"U.S. Sanctions Tighten Putin’s Circle, Extend Kremlin’s Reach",neutral,8
New York State Sues Trump Administration Over Global Entry Ban,neutral,10
Trump’s NASA Budget Will Earmark 12% Boost for Agency in 2021,positive,11
Trump Says War With Iran Was ‘Closer Than You Thought’,negative,10
Trump’s Impeachment Is Virtually Over. What Did It Change?,neutral,9
Fewer Asylum Seekers Have Lawyers Under Trump Administration Policy,negative,9
Trump Announces Coronavirus Task Force,neutral,5
Trump Mideast Plan Said to Favor Israeli Goals,neutral,8
How Putin Outfoxed Trump in Venezuela,positive,6
"U.S., India Draft Trade Pact for Unveiling in Possible Trump Visit",positive,11
Ex-Treasury Official Pleads Guilty to Leaks on Trump Campaign Officials,neutral,10
"Ex-Trump Campaign Official Richard Gates Sentenced to 45 Days in Jail, Three Years Probation",negative,14
Athletes Seeking Green Cards Find Proving They’re Exceptional Has Gotten Tougher Under Trump,neutral,13
"Trump Administration Considers 14,000 More Troops for Mideast",neutral,8
Trump Administration Asks Supreme Court to Reinstate Blocked Executions,neutral,9
Judges Quietly Disrupt Trump Immigration Policy in San Diego,negative,9
"Bloomberg’s controversial comments on stop and frisk, China and more",negative,10
"Fox News Poll: Sanders gains among Democrats, Biden still best against Trump",positive,12
"Fox News Poll: Record economy ratings, as half say Senate should remove Trump",neutral,13
"Fox News Poll: Biden and Sanders vie for lead in Nevada, Biden tops Trump",positive,14
"Fox News Poll: Biden and Sanders vie for lead in Nevada, Biden tops Trump",negative,14
Rep. Tim Ryan says Joe Biden does really well in the broader electorate,positive,13
Bloomberg catching heat from black Democratic lawmakers for stop-and-frisk,positive,9
"Brad Parscale on Joe Biden leaving New Hampshire early, Mike Bloomberg's 'stop and frisk' comments",neutral,15
Guy Benson says the 'total collapse' of Joe Biden's campaign has been fascinating to watch,negative,15
Elizabeth Warren rips rivals ‘sucking up to billionaires’ as 2020 rancor extends into primary day,negative,15
"Biden abruptly cancels New Hampshire primary party appearance, heads to South Carolina",neutral,12
Pete Buttigieg looks to ride Iowa success to victory in New Hampshire,positive,12
Stealing the spotlight: Lisa Boothe praises President Trump's 'smart' campaign rally strategy,positive,12
"After impeachment acquittal, Senate confirms another Trump court pick over Dem objections",negative,12
Sen. Lindsey Graham says President Trump can run on a record that Democrats can't refute,positive,15
Republican Bill Weld explains why he is running against President Trump,negative,11
Trump stirs pardon speculation with condemnation of DOJ’s Roger Stone treatment,neutral,11
Peter Doocy recounts tough exchanges with Joe Biden on the campaign trail,neutral,12
"Dr. Jill Biden discusses life on the campaign trail, responding to political attacks",neutral,13
Sen. Rick Scott explains why he hopes Bernie Sanders wins the Democratic presidential nomination,positive,14
Gov. Hutchinson on Trump's Governors' Ball,neutral,6
"Trump, Klobuchar see strong showing in New Hampshire's midnight voting towns",positive,11
2020 hopeful Pete Buttigieg claims to be the 'moderate' choice for New Hampshire,negative,13
"Trump, looking to 'shake up the Dems a little bit,' hits 'mumbling' Pelosi in rally ahead of key NH primary",neutral,20
Trump cuts New Hampshire rally short to receive remains of 2 soldiers killed in Afghanistan,positive,15
AG Barr accepts Hunter Biden information from Rudy Giuliani,neutral,9
Melania Trump urges governors' spouses to spread 'Be Best' initiative in home states,positive,13
Sean Hannity attends Joe Biden rally in New Hampshire,neutral,9
How could Bloomberg shake up the 2020 race?,neutral,8
Trump calls out Nancy Pelosi for mumbling behind him during State of the Union,negative,14
Buttigieg campaign official: We need a candidate who's not polarizing,positive,10
"Biden campaign adviser on New Hampshire: Whatever happens, Biden will still be in this race",positive,15
Democracy 2020 Digest: Klobuchar sees an opening - Can she take it?,neutral,12
Sanders holds lead as Klobuchar surges ahead of New Hampshire primary,neutral,11
Senator Amy Klobuchar: We need a president with empathy,neutral,9
Trump unveils $4.8 trillion election year budget,neutral,7
Lieberman: I hope Bernie Sanders is not the Democratic nominee,negative,10
